"Step","group: trained - test_total_r2","group: trained - test_total_r2__MIN","group: trained - test_total_r2__MAX","group: finetuned_ridgeslowverybig_with_augmentations - test_total_r2","group: finetuned_ridgeslowverybig_with_augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_with_augmentations - test_total_r2__MAX","group: finetuned_ridgeslowverybig_with_6augmentations - test_total_r2","group: finetuned_ridgeslowverybig_with_6augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_with_6augmentations - test_total_r2__MAX","group: finetuned_ridgeslowverybig_with_3augmentations - test_total_r2","group: finetuned_ridgeslowverybig_with_3augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_with_3augmentations - test_total_r2__MAX","group: finetuned_ridgeslowverybig_without_augmentations - test_total_r2","group: finetuned_ridgeslowverybig_without_augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_without_augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_with_6augmentations - test_total_r2","group: frozen_ridgeslowverybig_with_6augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_with_6augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_with_3augmentations - test_total_r2","group: frozen_ridgeslowverybig_with_3augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_with_3augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_with_augmentations - test_total_r2","group: frozen_ridgeslowverybig_with_augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_with_augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_without_augmentations - test_total_r2","group: frozen_ridgeslowverybig_without_augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_without_augmentations - test_total_r2__MAX","group: random - test_total_r2","group: random - test_total_r2__MIN","group: random - test_total_r2__MAX"
"2113","","","","0.622204065322876","0.622204065322876","0.622204065322876","","","","0.6281923651695251","0.6281923651695251","0.6281923651695251","","","","","","","","","","","","","0.29787424206733704","0.29593926668167114","0.29980921745300293","","",""
"2145","","","","0.6123323440551758","0.604529619216919","0.6201350688934326","0.6186838150024414","0.6186838150024414","0.6186838150024414","","","","","","","","","","","","","","","","","","","","",""
"2177","","","","","","","","","","","","","","","","","","","","","","","","","0.2874622941017151","0.28123706579208374","0.29368752241134644","","",""
"2209","","","","","","","","","","0.6176832914352417","0.6176832914352417","0.6176832914352417","","","","","","","","","","","","","","","","","",""
"2241","","","","0.6244184970855713","0.6244184970855713","0.6244184970855713","0.6285135746002197","0.6285135746002197","0.6285135746002197","","","","","","","","","","","","","","","","0.3096168041229248","0.3096168041229248","0.3096168041229248","","",""
"2273","","","","","","","","","","","","","","","","","","","","","","","","","0.267533540725708","0.267533540725708","0.267533540725708","","",""
"2305","","","","","","","0.6134198307991028","0.6134198307991028","0.6134198307991028","","","","","","","","","","","","","","","","","","","","",""
"2337","","","","","","","","","","","","","","","","","","","","","","","","","0.31018149852752686","0.31018149852752686","0.31018149852752686","","",""
"2689","","","","","","","","","","","","","","","","","","","","","","","","","0.29467684030532837","0.29467684030532837","0.29467684030532837","","",""
"2753","","","","","","","","","","","","","","","","","","","","","","","","","0.2965530753135681","0.2965530753135681","0.2965530753135681","","",""
"2849","","","","","","","","","","","","","","","","","","","","","","0.4816228747367859","0.4816228747367859","0.4816228747367859","","","","","",""
"2881","","","","","","","","","","","","","","","","","","","","","","0.46890807151794434","0.46890807151794434","0.46890807151794434","","","","","",""
"2913","","","","","","","","","","","","","0.5915905237197876","0.5915905237197876","0.5915905237197876","","","","","","","","","","","","","","",""
"2945","","","","","","","","","","","","","","","","0.456817090511322","0.456817090511322","0.456817090511322","0.46644970774650574","0.44601792097091675","0.4868814945220947","0.4669336676597595","0.4669336676597595","0.4669336676597595","","","","","",""
"3041","","","","","","","","","","","","","0.5938901901245117","0.5938901901245117","0.5938901901245117","0.4635603427886963","0.4635603427886963","0.4635603427886963","0.4665531516075134","0.4665531516075134","0.4665531516075134","","","","","","","","",""
"3073","","","","","","","","","","","","","","","","","","","","","","0.4680010676383972","0.4555191993713379","0.48048293590545654","","","","","",""
"3105","","","","","","","","","","","","","","","","","","","","","","0.4762071967124939","0.4762071967124939","0.4762071967124939","","","","","",""
"3137","","","","","","","","","","","","","","","","0.48517632484436035","0.47561538219451904","0.49473726749420166","","","","0.47207045555114746","0.47207045555114746","0.47207045555114746","","","","","",""
"3169","","","","","","","","","","","","","","","","","","","0.4597310423851013","0.4597310423851013","0.4597310423851013","","","","","","","","",""
"3265","","","","","","","","","","","","","","","","0.48998767137527466","0.48998767137527466","0.48998767137527466","0.46206384897232056","0.46206384897232056","0.46206384897232056","0.4454149007797241","0.4454149007797241","0.4454149007797241","","","","","",""
"3457","","","","","","","","","","","","","","","","","","","0.461925208568573","0.461925208568573","0.461925208568573","0.44617408514022827","0.44617408514022827","0.44617408514022827","","","","","",""
"3521","","","","","","","","","","","","","","","","","","","","","","0.4815729856491089","0.4815729856491089","0.4815729856491089","","","","","",""
"3553","","","","","","","","","","","","","","","","0.46581077575683594","0.46581077575683594","0.46581077575683594","","","","","","","","","","","",""
"3681","","","","","","","","","","","","","","","","","","","0.46728891134262085","0.46728891134262085","0.46728891134262085","","","","","","","","",""
"3873","","","","","","","","","","","","","","","","0.46907949447631836","0.46907949447631836","0.46907949447631836","0.4601617753505707","0.4475618600845337","0.47276169061660767","","","","","","","","",""
"4097","","","","","","","","","","","","","","","","0.46532654762268066","0.46532654762268066","0.46532654762268066","","","","","","","","","","","",""
"4161","","","","","","","","","","","","","","","","0.450000524520874","0.450000524520874","0.450000524520874","","","","","","","","","","","",""
"4289","","","","","","","","","","","","","","","","0.4465121626853943","0.4465121626853943","0.4465121626853943","","","","","","","","","","","",""
"4353","","","","","","","","","","","","","","","","","","","0.46195149421691895","0.46195149421691895","0.46195149421691895","","","","","","","","",""
"6401","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.22788822054862976","0.21821004152297974","0.24122393131256104"
