"Step","group: finetuned_ridgeslowverybig_without_augmentations - test_total_r2","group: finetuned_ridgeslowverybig_without_augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_without_augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_with_6augmentations - test_total_r2","group: frozen_ridgeslowverybig_with_6augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_with_6augmentations - test_total_r2__MAX","group: trained - test_total_r2","group: trained - test_total_r2__MIN","group: trained - test_total_r2__MAX","group: frozen_ridgeslowverybig_with_3augmentations - test_total_r2","group: frozen_ridgeslowverybig_with_3augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_with_3augmentations - test_total_r2__MAX","group: finetuned_ridgeslowverybig_with_3augmentations - test_total_r2","group: finetuned_ridgeslowverybig_with_3augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_with_3augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_with_augmentations - test_total_r2","group: frozen_ridgeslowverybig_with_augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_with_augmentations - test_total_r2__MAX","group: finetuned_ridgeslowverybig_with_6augmentations - test_total_r2","group: finetuned_ridgeslowverybig_with_6augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_with_6augmentations - test_total_r2__MAX","group: finetuned_ridgeslowverybig_with_augmentations - test_total_r2","group: finetuned_ridgeslowverybig_with_augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_with_augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_without_augmentations - test_total_r2","group: frozen_ridgeslowverybig_without_augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_without_augmentations - test_total_r2__MAX","group: random - test_total_r2","group: random - test_total_r2__MIN","group: random - test_total_r2__MAX"
"391","0.19196724891662598","0.19196724891662598","0.19196724891662598","","","","","","","","","","0.2512515187263489","0.2512515187263489","0.2512515187263489","","","","","","","0.22453337907791138","0.22453337907791138","0.22453337907791138","","","","","",""
"396","","","","","","","","","","","","","","","","","","","","","","0.19606995582580566","0.19606995582580566","0.19606995582580566","","","","","",""
"411","","","","","","","0.23469001054763794","0.23469001054763794","0.23469001054763794","","","","","","","","","","","","","","","","","","","","",""
"416","","","","","","","0.1457141637802124","0.1457141637802124","0.1457141637802124","","","","","","","","","","","","","","","","","","","","",""
"421","","","","","","","0.26591676473617554","0.26591676473617554","0.26591676473617554","","","","","","","","","","","","","","","","","","","","",""
"426","0.18205136060714722","0.17403537034988403","0.1900673508644104","","","","0.24545550346374512","0.24545550346374512","0.24545550346374512","","","","","","","","","","","","","0.24263125658035278","0.24263125658035278","0.24263125658035278","","","","","",""
"431","0.1686226725578308","0.1686226725578308","0.1686226725578308","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"436","","","","","","","","","","","","","","","","","","","","","","0.22766298055648804","0.22766298055648804","0.22766298055648804","","","","","",""
"446","","","","","","","0.2169075608253479","0.2169075608253479","0.2169075608253479","","","","","","","","","","","","","","","","","","","","",""
"456","","","","","","","0.21897751092910767","0.21897751092910767","0.21897751092910767","","","","0.2555423378944397","0.2555423378944397","0.2555423378944397","","","","","","","","","","","","","","",""
"461","0.20350909233093262","0.20350909233093262","0.20350909233093262","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"476","","","","","","","","","","","","","","","","","","","","","","","","","0.03172600269317627","0.03172600269317627","0.03172600269317627","","",""
"481","","","","","","","","","","","","","","","","","","","","","","","","","0.01813453435897827","0.01813453435897827","0.01813453435897827","","",""
"486","","","","","","","","","","","","","","","","","","","","","","","","","0.013739824295043945","0.013739824295043945","0.013739824295043945","","",""
"501","","","","","","","0.22708845138549805","0.22708845138549805","0.22708845138549805","","","","","","","","","","","","","","","","","","","","",""
"511","","","","","","","","","","","","","","","","","","","","","","","","","0.0011737942695617676","0.0011737942695617676","0.0011737942695617676","","",""
"521","0.2423398494720459","0.2423398494720459","0.2423398494720459","","","","","","","","","","","","","","","","","","","","","","0.01304858922958374","0.01304858922958374","0.01304858922958374","","",""
"531","","","","","","","","","","","","","","","","","","","","","","","","","-0.002902805805206299","-0.0036536455154418945","-0.002151966094970703","","",""
"536","","","","","","","","","","","","","","","","","","","","","","","","","-0.019178032875061035","-0.019178032875061035","-0.019178032875061035","","",""
"551","0.27958619594573975","0.27958619594573975","0.27958619594573975","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"556","","","","","","","","","","","","","","","","","","","","","","","","","0.08628189563751221","0.08628189563751221","0.08628189563751221","","",""
"606","","","","","","","","","","","","","","","","","","","","","","","","","0.12417024374008179","0.12417024374008179","0.12417024374008179","","",""
"621","","","","","","","","","","","","","","","","0.21576005220413208","0.21576005220413208","0.21576005220413208","","","","","","","","","","","",""
"631","","","","","","","","","","","","","","","","0.2269163727760315","0.2269163727760315","0.2269163727760315","","","","","","","","","","","",""
"636","","","","","","","","","","","","","","","","0.23250699043273926","0.23250699043273926","0.23250699043273926","","","","","","","","","","","",""
"651","","","","","","","","","","","","","","","","0.2223253846168518","0.2223253846168518","0.2223253846168518","","","","","","","","","","","",""
"656","","","","","","","","","","0.24317115545272827","0.24317115545272827","0.24317115545272827","","","","0.24763959646224976","0.24323976039886475","0.25203943252563477","","","","","","","","","","","",""
"666","","","","0.23020344972610474","0.23020344972610474","0.23020344972610474","","","","","","","","","","","","","","","","","","","","","","","",""
"671","","","","","","","","","","0.2532610297203064","0.2532610297203064","0.2532610297203064","","","","","","","","","","","","","","","","","",""
"676","0.1829613447189331","0.1829613447189331","0.1829613447189331","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"681","","","","","","","","","","0.237587571144104","0.237587571144104","0.237587571144104","","","","","","","","","","","","","","","","","",""
"686","","","","","","","","","","0.2168421745300293","0.2168421745300293","0.2168421745300293","","","","","","","","","","","","","","","","","",""
"691","","","","","","","","","","0.1914464235305786","0.1914464235305786","0.1914464235305786","","","","0.18303096294403076","0.18303096294403076","0.18303096294403076","","","","","","","","","","","",""
"701","0.22150063514709473","0.22150063514709473","0.22150063514709473","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"706","","","","0.19957107305526733","0.19957107305526733","0.19957107305526733","","","","","","","","","","","","","","","","","","","","","","","",""
"711","","","","","","","","","","","","","","","","0.2240486741065979","0.2240486741065979","0.2240486741065979","","","","","","","","","","","",""
"716","0.22970342636108398","0.22970342636108398","0.22970342636108398","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"721","","","","","","","","","","0.20059245824813843","0.20059245824813843","0.20059245824813843","","","","0.22748291492462158","0.22748291492462158","0.22748291492462158","","","","","","","","","","","",""
"726","","","","","","","","","","0.25495851039886475","0.25495851039886475","0.25495851039886475","","","","","","","","","","","","","","","","","",""
"736","","","","0.2604960799217224","0.2604960799217224","0.2604960799217224","","","","","","","","","","","","","","","","","","","","","","","",""
"741","","","","0.22453314065933228","0.2060396671295166","0.24302661418914795","","","","","","","","","","","","","","","","","","","","","","","",""
"751","","","","0.2220413088798523","0.2220413088798523","0.2220413088798523","","","","","","","","","","","","","","","","","","","","","","","",""
"761","","","","","","","","","","0.23077702522277832","0.23077702522277832","0.23077702522277832","","","","","","","","","","","","","","","","","",""
"766","","","","","","","","","","0.2600069046020508","0.2600069046020508","0.2600069046020508","","","","","","","","","","","","","","","","","",""
"771","","","","","","","","","","0.23366892337799072","0.23366892337799072","0.23366892337799072","","","","0.22739428281784058","0.22739428281784058","0.22739428281784058","","","","","","","","","","","",""
"781","","","","0.2664638161659241","0.2664638161659241","0.2664638161659241","","","","","","","","","","","","","","","","","","","","","","","",""
"796","","","","0.2730565667152405","0.2730565667152405","0.2730565667152405","","","","","","","","","","","","","","","","","","","","","","","",""
"806","","","","0.2376490831375122","0.2376490831375122","0.2376490831375122","","","","","","","","","","","","","","","","","","","","","","","",""
"811","","","","0.24183160066604614","0.24183160066604614","0.24183160066604614","","","","","","","","","","","","","","","","","","","","","","","",""
"1001","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.09559306502342224","0.07647454738616943","0.11441963911056519"
