"Step","group: finetuned_ridgeslowverybig_with_6augmentations - test_total_r2","group: finetuned_ridgeslowverybig_with_6augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_with_6augmentations - test_total_r2__MAX","group: finetuned_ridgeslowverybig_with_augmentations - test_total_r2","group: finetuned_ridgeslowverybig_with_augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_with_augmentations - test_total_r2__MAX","group: finetuned_ridgeslowverybig_with_3augmentations - test_total_r2","group: finetuned_ridgeslowverybig_with_3augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_with_3augmentations - test_total_r2__MAX","group: trained - test_total_r2","group: trained - test_total_r2__MIN","group: trained - test_total_r2__MAX","group: finetuned_ridgeslowverybig_without_augmentations - test_total_r2","group: finetuned_ridgeslowverybig_without_augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_without_augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_with_6augmentations - test_total_r2","group: frozen_ridgeslowverybig_with_6augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_with_6augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_with_3augmentations - test_total_r2","group: frozen_ridgeslowverybig_with_3augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_with_3augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_with_augmentations - test_total_r2","group: frozen_ridgeslowverybig_with_augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_with_augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_without_augmentations - test_total_r2","group: frozen_ridgeslowverybig_without_augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_without_augmentations - test_total_r2__MAX","group: random - test_total_r2","group: random - test_total_r2__MIN","group: random - test_total_r2__MAX"
"826","","","","","","","0.5046146512031555","0.5046146512031555","0.5046146512031555","","","","","","","","","","","","","","","","","","","","",""
"848","0.49879616498947144","0.49879616498947144","0.49879616498947144","0.5237056016921997","0.5237056016921997","0.5237056016921997","0.5011365413665771","0.5011365413665771","0.5011365413665771","","","","","","","","","","","","","","","","","","","","",""
"859","","","","0.5074616074562073","0.5074616074562073","0.5074616074562073","","","","","","","","","","","","","","","","","","","","","","","",""
"870","","","","0.5019119381904602","0.5019119381904602","0.5019119381904602","0.5170221328735352","0.5170221328735352","0.5170221328735352","","","","","","","","","","","","","","","","","","","","",""
"881","0.4775499105453491","0.4775499105453491","0.4775499105453491","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"892","","","","","","","0.4885575771331787","0.4885575771331787","0.4885575771331787","0.4950680732727051","0.4950680732727051","0.4950680732727051","","","","","","","","","","","","","0.17953884601593018","0.17953884601593018","0.17953884601593018","","",""
"903","","","","0.5085203647613525","0.5085203647613525","0.5085203647613525","","","","","","","0.48611682653427124","0.48611682653427124","0.48611682653427124","","","","","","","","","","0.17932866017023721","0.14440488815307617","0.21827930212020874","","",""
"914","","","","","","","","","","","","","","","","","","","","","","","","","0.16513299942016602","0.16513299942016602","0.16513299942016602","","",""
"925","","","","","","","0.4696490168571472","0.4696490168571472","0.4696490168571472","","","","","","","","","","","","","","","","0.14755254983901978","0.14755254983901978","0.14755254983901978","","",""
"936","","","","","","","","","","","","","0.4506516456604004","0.4506516456604004","0.4506516456604004","","","","","","","","","","","","","","",""
"947","","","","","","","","","","","","","","","","","","","","","","","","","0.15846461057662964","0.15846461057662964","0.15846461057662964","","",""
"958","","","","0.48506611585617065","0.48506611585617065","0.48506611585617065","","","","","","","","","","","","","","","","","","","0.1702120304107666","0.1702120304107666","0.1702120304107666","","",""
"969","","","","","","","0.502906322479248","0.502906322479248","0.502906322479248","","","","","","","","","","","","","","","","","","","","",""
"991","","","","","","","","","","","","","0.4584706425666809","0.4584706425666809","0.4584706425666809","","","","","","","","","","","","","","",""
"1090","","","","","","","","","","","","","0.44482147693634033","0.44482147693634033","0.44482147693634033","","","","","","","","","","","","","","",""
"1145","","","","","","","","","","","","","","","","","","","","","","","","","0.20598208904266357","0.20598208904266357","0.20598208904266357","","",""
"1156","","","","","","","","","","","","","","","","","","","","","","0.3835442066192627","0.3835442066192627","0.3835442066192627","","","","","",""
"1189","","","","","","","","","","","","","","","","","","","0.43053990602493286","0.43053990602493286","0.43053990602493286","","","","","","","","",""
"1222","","","","","","","","","","","","","","","","0.4174683094024658","0.4174683094024658","0.4174683094024658","","","","","","","","","","","",""
"1233","","","","","","","","","","","","","0.43026435375213623","0.43026435375213623","0.43026435375213623","","","","","","","","","","","","","","",""
"1244","","","","","","","","","","","","","","","","","","","","","","0.3959437608718872","0.3959437608718872","0.3959437608718872","","","","","",""
"1299","","","","","","","","","","","","","","","","","","","","","","0.4105048179626465","0.4105048179626465","0.4105048179626465","","","","","",""
"1310","","","","","","","","","","","","","","","","0.4053995609283447","0.4053995609283447","0.4053995609283447","","","","0.4130493402481079","0.4130493402481079","0.4130493402481079","","","","","",""
"1343","","","","","","","","","","","","","","","","","","","0.4093666076660156","0.4093666076660156","0.4093666076660156","0.42122530937194824","0.42122530937194824","0.42122530937194824","","","","","",""
"1376","","","","","","","","","","","","","","","","","","","","","","0.40437406301498413","0.40437406301498413","0.40437406301498413","","","","","",""
"1398","","","","","","","","","","","","","0.45022332668304443","0.45022332668304443","0.45022332668304443","0.4117729365825653","0.3792600631713867","0.4442858099937439","","","","","","","","","","","",""
"1420","","","","","","","","","","","","","","","","","","","0.38985398411750793","0.3805345892906189","0.399173378944397","0.40136846899986267","0.38828587532043457","0.41445106267929077","","","","","",""
"1442","","","","","","","","","","","","","","","","0.4143826961517334","0.4143826961517334","0.4143826961517334","0.3856879472732544","0.3856879472732544","0.3856879472732544","","","","","","","","",""
"1486","","","","","","","","","","","","","","","","0.38868826627731323","0.38868826627731323","0.38868826627731323","0.3687777519226074","0.3687777519226074","0.3687777519226074","","","","","","","","",""
"1497","","","","","","","","","","","","","","","","","","","","","","0.3682308793067932","0.3682308793067932","0.3682308793067932","","","","","",""
"1508","","","","","","","","","","","","","","","","0.3970522880554199","0.3970522880554199","0.3970522880554199","0.4063965082168579","0.4063965082168579","0.4063965082168579","","","","","","","","",""
"1519","","","","","","","","","","","","","","","","","","","","","","","","","0.20964497327804565","0.20964497327804565","0.20964497327804565","","",""
"1530","","","","","","","","","","","","","","","","","","","0.4024059772491455","0.4024059772491455","0.4024059772491455","","","","","","","","",""
"1563","","","","","","","","","","","","","","","","0.40927815437316895","0.40927815437316895","0.40927815437316895","","","","","","","","","","","",""
"1574","","","","","","","","","","","","","","","","","","","0.4005792737007141","0.4005792737007141","0.4005792737007141","","","","","","","","",""
"1618","","","","","","","","","","","","","0.5003905296325684","0.5003905296325684","0.5003905296325684","","","","","","","","","","","","","","",""
"1673","","","","","","","","","","","","","","","","","","","","","","0.37847214937210083","0.37847214937210083","0.37847214937210083","","","","","",""
"1695","","","","","","","","","","","","","","","","0.398748517036438","0.398748517036438","0.398748517036438","0.3811544179916382","0.3811544179916382","0.3811544179916382","","","","","","","","",""
"2201","","","","","","","","","","","","","0.4365140199661255","0.4365140199661255","0.4365140199661255","0.37936484813690186","0.37936484813690186","0.37936484813690186","","","","","","","","","","0.16924203634262086","0.149894118309021","0.1867513656616211"
