"Step","group: finetuned_ridgeslowverybig_with_augmentations - test_total_r2","group: finetuned_ridgeslowverybig_with_augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_with_augmentations - test_total_r2__MAX","group: finetuned_ridgeslowverybig_with_6augmentations - test_total_r2","group: finetuned_ridgeslowverybig_with_6augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_with_6augmentations - test_total_r2__MAX","group: finetuned_ridgeslowverybig_with_3augmentations - test_total_r2","group: finetuned_ridgeslowverybig_with_3augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_with_3augmentations - test_total_r2__MAX","group: trained - test_total_r2","group: trained - test_total_r2__MIN","group: trained - test_total_r2__MAX","group: finetuned_ridgeslowverybig_without_augmentations - test_total_r2","group: finetuned_ridgeslowverybig_without_augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_without_augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_with_3augmentations - test_total_r2","group: frozen_ridgeslowverybig_with_3augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_with_3augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_with_6augmentations - test_total_r2","group: frozen_ridgeslowverybig_with_6augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_with_6augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_with_augmentations - test_total_r2","group: frozen_ridgeslowverybig_with_augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_with_augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_without_augmentations - test_total_r2","group: frozen_ridgeslowverybig_without_augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_without_augmentations - test_total_r2__MAX","group: random - test_total_r2","group: random - test_total_r2__MIN","group: random - test_total_r2__MAX"
"771","0.4931063652038574","0.4931063652038574","0.4931063652038574","0.5202834606170654","0.5202834606170654","0.5202834606170654","0.5181232690811157","0.5181232690811157","0.5181232690811157","0.4913180470466614","0.4913180470466614","0.4913180470466614","","","","","","","","","","","","","","","","","",""
"782","","","","0.4737626910209656","0.4737626910209656","0.4737626910209656","0.4769311547279358","0.4769311547279358","0.4769311547279358","0.5084688663482666","0.5084688663482666","0.5084688663482666","","","","","","","","","","","","","","","","","",""
"793","","","","0.5190436840057373","0.5190436840057373","0.5190436840057373","0.5234588384628296","0.5234588384628296","0.5234588384628296","0.5133731961250305","0.5133731961250305","0.5133731961250305","0.45458024740219116","0.45458024740219116","0.45458024740219116","","","","","","","","","","","","","","",""
"804","0.5029434760411581","0.4773365259170532","0.5217281579971313","","","","0.49350130558013916","0.49350130558013916","0.49350130558013916","","","","","","","","","","","","","","","","","","","","",""
"815","","","","0.5013524889945984","0.5013524889945984","0.5013524889945984","","","","0.4739529490470886","0.4739529490470886","0.4739529490470886","","","","","","","","","","","","","","","","","",""
"837","0.5307798385620117","0.5307798385620117","0.5307798385620117","","","","0.4655265212059021","0.4655265212059021","0.4655265212059021","","","","","","","","","","","","","","","","","","","","",""
"848","0.5306425094604492","0.5306425094604492","0.5306425094604492","","","","","","","0.4898644983768463","0.48636263608932495","0.4933663606643677","","","","","","","","","","","","","","","","","",""
"859","0.5340735912322998","0.5340735912322998","0.5340735912322998","","","","","","","0.49606192111968994","0.49606192111968994","0.49606192111968994","0.4480818510055542","0.4480818510055542","0.4480818510055542","","","","","","","","","","","","","","",""
"881","","","","","","","","","","0.4958747625350952","0.4958747625350952","0.4958747625350952","","","","","","","","","","","","","","","","","",""
"892","0.5257669687271118","0.5257669687271118","0.5257669687271118","","","","0.500847578048706","0.500847578048706","0.500847578048706","","","","","","","","","","","","","","","","","","","","",""
"903","","","","0.525841474533081","0.525841474533081","0.525841474533081","","","","0.49575358629226685","0.49575358629226685","0.49575358629226685","","","","","","","","","","","","","","","","","",""
"936","","","","","","","0.4941309690475464","0.4941309690475464","0.4941309690475464","","","","0.4789445996284485","0.4789445996284485","0.4789445996284485","","","","","","","","","","","","","","",""
"947","","","","0.5169975757598877","0.5169975757598877","0.5169975757598877","","","","","","","","","","","","","","","","","","","","","","","",""
"958","","","","0.5128887891769409","0.5128887891769409","0.5128887891769409","0.5077263712882996","0.5077263712882996","0.5077263712882996","","","","","","","","","","","","","","","","","","","","",""
"969","","","","0.4938562512397766","0.4938562512397766","0.4938562512397766","","","","","","","","","","","","","","","","","","","","","","","",""
"980","","","","","","","0.5122102499008179","0.5122102499008179","0.5122102499008179","","","","0.4781087636947632","0.4781087636947632","0.4781087636947632","","","","","","","","","","","","","","",""
"1013","","","","0.5091601014137268","0.5091601014137268","0.5091601014137268","","","","","","","","","","","","","","","","","","","","","","","",""
"1046","0.4774321913719177","0.4774321913719177","0.4774321913719177","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1068","","","","","","","","","","","","","","","","","","","","","","","","","0.2555423378944397","0.2555423378944397","0.2555423378944397","","",""
"1145","","","","","","","","","","","","","0.4764784574508667","0.4764784574508667","0.4764784574508667","","","","","","","","","","","","","","",""
"1156","","","","","","","","","","","","","0.45079100131988525","0.45079100131988525","0.45079100131988525","","","","","","","","","","","","","","",""
"1178","","","","","","","","","","","","","","","","","","","","","","","","","0.2345290184020996","0.2345290184020996","0.2345290184020996","","",""
"1200","","","","","","","","","","","","","","","","","","","","","","","","","0.21268951892852783","0.2027655839920044","0.22261345386505127","","",""
"1211","","","","","","","","","","","","","0.43501830101013184","0.43501830101013184","0.43501830101013184","","","","","","","","","","","","","","",""
"1255","","","","","","","","","","","","","","","","","","","","","","","","","0.21063971519470215","0.1910596489906311","0.2302197813987732","","",""
"1332","","","","","","","","","","","","","","","","","","","","","","","","","0.2097826898097992","0.195814847946167","0.2237505316734314","","",""
"1486","","","","","","","","","","","","","","","","","","","","","","0.3640023469924927","0.3640023469924927","0.3640023469924927","","","","","",""
"1673","","","","","","","","","","","","","","","","","","","","","","0.3844486474990845","0.3844486474990845","0.3844486474990845","","","","","",""
"1717","","","","","","","","","","","","","","","","","","","","","","0.38266968727111816","0.38266968727111816","0.38266968727111816","","","","","",""
"1783","","","","","","","","","","","","","","","","","","","","","","0.38608020544052124","0.38608020544052124","0.38608020544052124","","","","","",""
"1838","","","","","","","","","","","","","","","","0.4160792827606201","0.4160792827606201","0.4160792827606201","","","","0.4046252965927124","0.4046252965927124","0.4046252965927124","","","","","",""
"1926","","","","","","","","","","","","","","","","","","","","","","","","","0.21096152067184448","0.21096152067184448","0.21096152067184448","","",""
"1948","","","","","","","","","","","","","","","","","","","","","","0.3939688205718994","0.3939688205718994","0.3939688205718994","","","","","",""
"1992","","","","","","","","","","","","","","","","0.37215369939804077","0.37215369939804077","0.37215369939804077","","","","0.38236457109451294","0.38236457109451294","0.38236457109451294","","","","","",""
"2014","","","","","","","","","","","","","","","","","","","","","","0.39723294973373413","0.39723294973373413","0.39723294973373413","","","","","",""
"2025","","","","","","","","","","","","","","","","","","","0.36941343545913696","0.36941343545913696","0.36941343545913696","","","","","","","","",""
"2113","","","","","","","","","","","","","","","","0.3642061948776245","0.3642061948776245","0.3642061948776245","","","","","","","","","","","",""
"2201","","","","","","","","","","","","","","","","0.3860553503036499","0.3715193271636963","0.3980012536048889","0.3713025715616014","0.34714919328689575","0.4048076868057251","0.39137977361679077","0.38521307706832886","0.3975464701652527","0.2063468098640442","0.2063468098640442","0.2063468098640442","","",""
